gene_id,HaplotypingProbability,ReadCount_1,TPM_1,ReadCount_2,TPM_2,gene_type,aCount,bCount,Pan_Total,MAGE_Total,log_Pan_Total,log_MAGE_Total
ENSG00000000003,0.0350877192666666,0.50000000024,0.019412130863,0.50000000024,0.019412130863,protein_coding,0.0,0.0,1.00000000048,0.0,1.0000000003462468,0.0
ENSG00000000419,0.7500000006,469.7815419,44.43522859,469.7815419,44.43522859,protein_coding,3.0,6.0,939.5630838,9.0,9.877380898683533,3.321928094887362
ENSG00000000457,0.6666666683333333,110.4079497,2.790475364,110.4079497,2.790475364,protein_coding,3.0,11.0,220.8158994,14.0,7.793218968995875,3.9068905956085187
ENSG00000000460,0.320000000008,105.5865898286,5.188098582833,105.5865898286,5.188098582833,protein_coding,543.0,457.0,211.1731796572,1000.0,7.729098489660606,9.967226258835993
ENSG00000000938,0.7142857148857144,1024.41906015505,37.68480719024989,1027.38411032,37.795088562,protein_coding,35.0,30.0,2051.80317047505,65.0,11.003379588390697,6.044394119358453
ENSG00000001036,1.0,0.0,0.0,0.0,0.0,protein_coding,190.0,202.0,0.0,392.0,0.0,8.618385502258606
ENSG00000001084,0.3870967738935483,117.272518945,3.3322602852100003,80.3368869564,2.54924994342,protein_coding,25.0,32.0,197.6094059014,57.0,7.633790138552261,5.857980995127572
ENSG00000001167,1.0,326.966997,8.448204,326.966997,8.448204,protein_coding,0.0,0.0,653.933994,0.0,9.355205705085423,0.0
ENSG00000001460,0.0307017544166666,9.68802690975,0.467363229504,9.31197299265,0.326927365484,protein_coding,2.0,3.0,18.9999999024,5.0,4.32192808784701,2.584962500721156
ENSG00000001461,0.31249999985,170.7661918763,4.91845473063,132.57811855830002,4.37390749233,protein_coding,25.0,20.0,303.34431043460006,45.0,8.249560585376843,5.523561956057013
ENSG00000001497,0.59999999904,454.8957555,14.664917876,451.3813856,14.6116938466,protein_coding,0.0,0.0,906.2771411,0.0,9.825399500194893,0.0
ENSG00000001561,0.250000000725,246.11056471,4.202463569900001,347.88582455,5.9376050632999995,protein_coding,158.0,145.0,593.99638926,303.0,9.216737103216317,8.247927513443585
ENSG00000001617,0.025974026025974,2.1741037259,0.055340506872,1.8258962367,0.0464909993649999,protein_coding,0.0,0.0,3.9999999626,0.0,2.3219280840960037,0.0
ENSG00000001629,0.249999998775,1.9621722,0.84152054,2.0377273772,0.8739240334,protein_coding,3.0,5.0,3.9998995772,8.0,2.321899118701264,3.169925001442312
ENSG00000001630,0.6666666656666667,893.4417441,23.11103253,893.452822772,23.11404943,protein_coding,1.0,1.0,1786.894566872,2.0,10.804045947170026,1.584962500721156
ENSG00000001631,0.249999999853125,174.71178505681002,4.4191212341,126.90653215151,4.07679819504,protein_coding,0.0,0.0,301.61831720832004,0.0,8.241355504975822,0.0
ENSG00000002016,0.5714285727571429,81.9323040101,4.146886358533,93.262779616,4.5086671645,protein_coding,17.0,25.0,175.1950836261,42.0,7.461029859054621,5.426264754702098
ENSG00000002330,0.5555555566888889,218.215490973,25.5769538428,271.7763023022,32.0286433909,protein_coding,1.0,1.0,489.9917932752,2.0,8.939555100465164,1.584962500721156
ENSG00000002549,0.437500000375,1928.6639036262,88.35920611429,1928.6546571572003,88.35872157579,protein_coding,496.0,447.0,3857.3185607834,943.0,11.913756548600976,9.88264304936184
ENSG00000002586,1.0,1187.7358738,93.2410002,1187.7358738,93.2410002,protein_coding,1.0,0.0,2375.4717476,1.0,11.214605535096927,1.0
ENSG00000002586,1.0,1187.7358738,93.2410002,1187.7358738,93.2410002,protein_coding,0.0,0.0,2375.4717476,0.0,11.214605535096927,0.0
ENSG00000002745,0.0526315787631578,0.020635545239,0.0016311808988999,0.034605666038,0.0027354522365999,protein_coding,0.0,0.0,0.055241211277,0.0,0.07757281365960188,0.0
ENSG00000002822,0.1176470586505882,349.87382218519997,15.034572905769998,317.3561477808,14.409744110539998,protein_coding,106.0,113.0,667.229969966,219.0,9.384200878451368,7.78135971352466
ENSG00000002834,0.0909090908651515,1431.4491767378,27.98087015163,1889.3669747745,37.52749041849,protein_coding,323.0,418.0,3320.8161515123,741.0,11.697756513097469,9.535275376620802
ENSG00000002919,1.0,907.8317268,36.18545219,907.8317268,36.18545219,protein_coding,25.0,34.0,1815.6634536,59.0,10.827075462190432,5.906890595608519
ENSG00000003056,1.0,1075.7882134,33.18223828,1075.7882134,33.18223828,protein_coding,10.0,9.0,2151.5764268,19.0,11.071848745795444,4.321928094887363
ENSG00000003096,0.0306748466595092,0.9937384467,0.026296641837,1.0062615336,0.026628280272,protein_coding,0.0,0.0,1.9999999803,0.0,1.5849624912474587,0.0
ENSG00000003147,0.130000000038,4.338060158717,2.3974097339783,47.43696085201,4.497627012573999,protein_coding,4.0,3.0,51.775021010727,7.0,5.721783342823898,3.0
ENSG00000003249,0.1363636364204545,164.2851332383,7.96427885285,174.7105220217,7.94972965715,protein_coding,88.0,52.0,338.99565526000004,140.0,8.409372500329168,7.139551352398794
ENSG00000003393,0.166666666547619,105.7996820811,2.34063834714,123.19589850489,2.657628312003,protein_coding,25.0,20.0,228.99558058599,45.0,7.845462329518583,5.523561956057013
ENSG00000003400,0.2571428572257143,37.7861658034,1.55128070016,70.5710106034,2.01594886474,protein_coding,6.0,20.0,108.3571764068,26.0,6.772904088046254,4.754887502163468
ENSG00000003402,0.3714285713314285,1305.7569407146,51.75226848926,1522.4918433282,76.26960937564,protein_coding,134.0,155.0,2828.2487840428003,289.0,11.466203327329064,8.179909090014934
ENSG00000003436,0.0365853658079268,7.97741403944,0.199294838255,1.02129584405,0.038009079585,protein_coding,0.0,1.0,8.998709883490001,1.0,3.3217419584111028,1.0
ENSG00000003509,0.2142857138857143,67.79169189299999,2.64299757499,141.1550505385,5.52731339289,protein_coding,64.0,58.0,208.9467424315,122.0,7.713879593025623,6.94251450533924
ENSG00000003756,0.8461538459692307,682.783633661,25.8447825618,719.10013856,26.959488760000003,protein_coding,0.0,0.0,1401.883772221,0.0,10.454179772460732,0.0
ENSG00000003987,0.0135135135527027,0.9679335369,0.0385438749539999,1.0320664682,0.041097698724,protein_coding,20.0,13.0,2.0000000051,33.0,1.5849625031737378,5.087462841250339
ENSG00000004059,0.499999999625,803.9931104162,73.5102539028,803.9931104162,73.5102539028,protein_coding,0.0,0.0,1607.9862208324,0.0,10.651936255706737,0.0
ENSG00000004139,0.6666666653333334,248.56341437,5.511074568,177.64487507,2.834467268,protein_coding,36.0,44.0,426.20828944,80.0,8.738795830756073,6.339850002884624
ENSG00000004399,0.0980392156666666,34.2195035629,0.5533095688799999,30.7804964331,0.6143596534,protein_coding,1.0,0.0,64.999999996,1.0,6.0443941192710176,1.0
ENSG00000004455,0.3870967740129032,1991.62351381839,83.02184279346999,1272.19674842359,66.80903864887,protein_coding,10.0,13.0,3263.82026224198,23.0,11.672787854103069,4.584962500721156
ENSG00000004468,0.75000000025,1151.49877,25.69380649,758.69809,13.03336142,protein_coding,116.0,113.0,1910.19686,229.0,10.900260673295765,7.845490050944375
ENSG00000004478,0.3636363647272727,716.64225653557,22.40213561534,1412.2326693262698,37.42791902477,protein_coding,1.0,2.0,2128.87492586184,3.0,11.05655299720854,2.0
ENSG00000004487,0.50000000093,970.052107632,26.350754464700003,971.848689252,26.4038010083,protein_coding,17.0,29.0,1941.900796884,46.0,10.923996524495674,5.554588851677638
ENSG00000004534,0.8333333336666667,119.8019156,6.0605803,119.8019156,6.0605803,protein_coding,0.0,0.0,239.6038312,0.0,7.910515804895674,0.0
ENSG00000004660,0.0461538460061538,34.7422658203,0.80431682982,43.1691187861,1.04106378881,protein_coding,7.0,9.0,77.91138460639999,16.0,6.302161548869442,4.087462841250339
