gene_id,HaplotypingProbability,ReadCount_1,TPM_1,ReadCount_2,TPM_2,gene_type,aCount,bCount,Pan_Total,MAGE_Total,log_Pan_Total,log_MAGE_Total
ENSG00000000419,0.7500000006,241.82781,33.65781973,241.82781,33.65781973,protein_coding,12.0,9.0,483.65562,21.0,8.920816170489687,4.459431618637297
ENSG00000000457,0.1481481481296296,94.902566505,2.9876905062,61.614822674,1.0874783587,protein_coding,44.0,36.0,156.517389179,80.0,7.299367293926951,6.339850002884624
ENSG00000000460,0.1739130433021739,47.609565673,4.5067254065,80.2950495,6.534797547999999,protein_coding,298.0,219.0,127.904615173,517.0,7.010160107221419,9.016808287686555
ENSG00000000938,0.5555555552444444,750.9467280593052,44.133350002912906,738.0366802,40.210375806,protein_coding,0.0,5.0,1488.9834082593052,5.0,10.541080550278856,2.584962500721156
ENSG00000001036,1.0,0.0,0.0,0.0,0.0,protein_coding,112.0,112.0,0.0,224.0,0.0,7.813781191217037
ENSG00000001084,0.32352941175,56.860520292,2.0864782331,63.2371731301,2.26292378224,protein_coding,2.0,5.0,120.0976934221,7.0,6.920027575697229,3.0
ENSG00000001167,1.0,188.759452,8.237361,298.172992,11.5767081,protein_coding,3.0,17.0,486.932444,20.0,8.930537605077431,4.392317422778761
ENSG00000001460,0.027131783,10.71938820554,0.426952596327,3.24863626149,0.371858759191,protein_coding,6.0,8.0,13.96802446703,14.0,3.9038119168385848,3.9068905956085187
ENSG00000001461,0.263157894668421,92.60498175,5.2073952151,173.34253900000002,5.44497372,protein_coding,33.0,28.0,265.94752075,61.0,8.060412339944822,5.954196310386875
ENSG00000001497,0.59999999982,294.4560065,13.57814483,289.80641593,13.4767031905,protein_coding,0.0,0.0,584.26242243,0.0,9.192939841218731,0.0
ENSG00000001561,0.250000000725,344.66088364,8.4826167394,369.33550837,9.085710305,protein_coding,198.0,199.0,713.99639201,397.0,9.481792151606431,8.63662462054365
ENSG00000001629,0.249999999675,0.9307992,0.59442876,1.0692007994,0.6828150518,protein_coding,137.0,148.0,1.9999999994,285.0,1.584962500432617,8.159871336778389
ENSG00000001630,0.5000000012,443.4563937399999,16.555675930000003,443.4590200321,16.556751943440002,protein_coding,131.0,177.0,886.9154137720999,308.0,9.794278436233036,8.271463027904375
ENSG00000001631,0.347826087,161.0926317309,7.88221278647,161.1513990515,7.89049486857,protein_coding,12.0,23.0,322.2440307824,35.0,8.336479918386761,5.169925001442312
ENSG00000002016,0.4324324324918919,64.662310257,4.05602300191,95.2830423916,7.482040077740001,protein_coding,39.0,49.0,159.94535264860002,88.0,7.3304271088853294,6.475733430966398
ENSG00000002330,0.5000000005599999,124.9288927295,25.21167477811,125.0669686875,25.25173807951,protein_coding,0.0,0.0,249.995861417,0.0,7.9715197660527854,0.0
ENSG00000002549,0.5833333328666667,1012.2135050139,65.37645354819999,1166.2657931789,75.2397843228,protein_coding,710.0,975.0,2178.4792981928,1685.0,11.08976778496495,10.719388820942083
ENSG00000002586,1.0,736.9057433,83.43592688,736.9057433,83.43592688,protein_coding,3.0,0.0,1473.8114866,3.0,10.526314842710606,2.0
ENSG00000002586,1.0,736.9057433,83.43592688,736.9057433,83.43592688,protein_coding,0.0,0.0,1473.8114866,0.0,10.526314842710606,0.0
ENSG00000002745,0.0588235295117647,0.0,0.0,0.0,0.0,protein_coding,3.0,3.0,0.0,6.0,0.0,2.807354922057604
ENSG00000002746,0.0071428571378571,0.0,0.0,0.0,0.0,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002822,0.3913043477652174,145.622640688,8.2156374295,145.622640688,8.2156374295,protein_coding,119.0,175.0,291.245281376,294.0,8.191035920809151,8.204571144249204
ENSG00000002834,0.0937500000078125,1311.26814388577,37.115257569317,1493.4496762866,42.56621264768,protein_coding,569.0,562.0,2804.71782017237,1131.0,11.454154204557566,10.144658242831882
ENSG00000002919,1.0,682.0721171,41.30765515,672.466227,39.2616242,protein_coding,296.0,220.0,1354.5383441,516.0,10.404650207915548,9.014020470314934
ENSG00000003056,1.0,657.905901,31.49919534,657.905901,31.49919534,protein_coding,0.0,0.0,1315.811802,0.0,10.362833455827833,0.0
ENSG00000003096,0.0306748466331288,0.49999999634,0.026119481942,0.49999999634,0.026119481942,protein_coding,0.0,0.0,0.99999999268,0.0,0.999999994719736,0.0
