gene_id,HaplotypingProbability,ReadCount_1,TPM_1,ReadCount_2,TPM_2,gene_type,aCount,bCount,Pan_Total,MAGE_Total,log_Pan_Total,log_MAGE_Total
ENSG00000000003,0.1515151513666666,11.59726528095,0.342763614937,14.40225615835,0.447568421557,protein_coding,0.0,0.0,25.999521439299997,0.0,4.754861930931344,0.0
ENSG00000000419,1.0,740.6931881,60.1138069,740.6931881,60.1138069,protein_coding,2.0,0.0,1481.3863762,2.0,10.53370581218212,1.584962500721156
ENSG00000000457,0.1818181818227272,75.3389214012,1.229271999623,119.2739467495,2.38558164553,protein_coding,72.0,51.0,194.6128681507,123.0,7.611857469096339,6.954196310386875
ENSG00000000460,0.2051282050487179,121.248935627,5.5391383971199994,58.688406836,3.46597904766,protein_coding,564.0,745.0,179.937342463,1309.0,7.499346376763589,10.355351096424812
ENSG00000000938,0.7142857136571428,741.9879211000001,22.819849558,741.9879211000001,22.819849558,protein_coding,3.0,1.0,1483.9758422000002,4.0,10.536223745909172,2.321928094887362
ENSG00000001036,1.0,4.4173487,0.7835226,4.4173487,0.7835226,protein_coding,228.0,278.0,8.8346974,506.0,3.297880663461053,8.985841937003341
ENSG00000001084,0.3666666662933334,155.6636537203,3.84856992364,160.3227392705,4.133303225284,protein_coding,1.0,6.0,315.9863929908,7.0,8.308277102107784,3.0
ENSG00000001167,1.0,267.99920299999997,6.2941502,267.99920299999997,6.2941502,protein_coding,7.0,5.0,535.9984059999999,12.0,9.068773995565843,3.700439718141092
ENSG00000001460,0.0567375885730496,13.79748333771,0.456030769913,17.53313279871,0.561566731674,protein_coding,5.0,2.0,31.33061613642,7.0,5.014829096582341,3.0
ENSG00000001461,0.200000000348,123.226213427,3.0021567287,123.430668224,3.0115498227,protein_coding,1.0,0.0,246.656881651,1.0,7.952198899524896,1.0
ENSG00000001497,0.375000000325,486.0324617,13.9146478471,484.67586376,13.8970573645,protein_coding,0.0,0.0,970.70832546,0.0,9.92437951948974,0.0
ENSG00000001561,0.250000000725,346.80584296999996,5.070267257499999,303.19195754000003,4.4306044161,protein_coding,0.0,0.0,649.9978005099999,0.0,9.346508858820512,0.0
ENSG00000001617,0.0483870967564516,3.3707180152890004,0.0746625109194,8.629281951289,0.1893325735694,protein_coding,0.0,0.0,11.999999966578,0.0,3.7004397144320342,0.0
ENSG00000001629,0.2500000002749999,1.473787466,0.5415282049,1.5262124963,0.5607912484,protein_coding,107.0,123.0,2.9999999623000004,230.0,1.9999999864025992,7.851749041416057
ENSG00000001630,0.4000000006999999,665.67791,14.525484,607.38653,13.253532,protein_coding,9.0,11.0,1273.06444,20.0,10.315222533149026,4.392317422778761
ENSG00000001631,0.320000000748,134.6657953,3.8693803456,114.784625233,3.2727293903,protein_coding,33.0,30.0,249.450420533,63.0,7.968381223811602,6.0
ENSG00000002016,0.1546391751309278,46.204082694,1.4365512026,51.783870785999994,1.64313822601,protein_coding,24.0,30.0,97.98795348,54.0,6.62918105935099,5.78135971352466
ENSG00000002330,0.5555555554,308.77726713100003,35.650846645,333.996208431,37.192374630100005,protein_coding,3.0,0.0,642.773475562,3.0,9.330409326603554,2.0
ENSG00000002549,0.70000000028,2866.163323179,111.874288594,2866.163323179,111.874288594,protein_coding,0.0,0.0,5732.326646358,0.0,12.485156761091984,0.0
ENSG00000002586,1.0,947.3364875,66.0437143,947.3364875,66.0437143,protein_coding,0.0,0.0,1894.672975,0.0,10.888494389173264,0.0
ENSG00000002586,1.0,947.3364875,66.0437143,947.3364875,66.0437143,protein_coding,0.0,0.0,1894.672975,0.0,10.888494389173264,0.0
ENSG00000002726,0.0120967742419354,0.0,0.0,0.0,0.0,protein_coding,1.0,0.0,0.0,1.0,0.0,1.0
ENSG00000002745,0.030303030490909,0.0011370087,7.697727e-05,0.0011370087,7.697727e-05,protein_coding,0.0,0.0,0.0022740174,0.0,0.0032769890713395407,0.0
