gene_id,HaplotypingProbability,ReadCount_1,TPM_1,ReadCount_2,TPM_2,gene_type,aCount,bCount,Pan_Total,MAGE_Total,log_Pan_Total,log_MAGE_Total
ENSG00000000003,0.08333333319,0.98755711325,0.076424737244,1.01244289615,0.072492665283,protein_coding,0.0,0.0,2.0000000094,0.0,1.5849625052416005,0.0
ENSG00000000419,0.7499999992999999,524.6431958,53.17292075,524.6472853136,53.17356679213,protein_coding,0.0,0.0,1049.2904811136,0.0,10.036572677033854,0.0
ENSG00000000457,0.2105263161526315,137.522928015,3.21881818862,20.5878158355,0.7254692816770001,protein_coding,43.0,49.0,158.1107438505,92.0,7.313887445786285,6.539158811108031
ENSG00000000460,0.2222222220527777,73.045733163,3.93395173,77.828552453,4.0599655817,protein_coding,69.0,85.0,150.874285616,154.0,7.246733812381683,7.2761244052742375
ENSG00000000938,0.7142857131142858,915.3754501,37.274676573,915.59921,37.282846676000005,protein_coding,55.0,44.0,1830.9746601,99.0,10.839183832856278,6.643856189774724
ENSG00000000971,0.0438596490999999,12.85871967894,0.3361461865584,12.14058575828,0.536553908475,protein_coding,0.0,0.0,24.99930543722,0.0,4.700401177538677,0.0
ENSG00000001036,1.0,2.1320477,0.46712224,2.1320477,0.46712224,protein_coding,132.0,110.0,4.2640954,242.0,2.3961856349431674,7.924812503605781
ENSG00000001084,0.190476190715873,144.66043281197997,5.077973555481911,147.99446107778692,5.195562630702424,protein_coding,11.0,13.0,292.65489388976687,24.0,8.197977870966662,4.643856189774724
ENSG00000001167,1.0,279.497499,8.8063308,279.497499,8.8063308,protein_coding,2.0,2.0,558.994998,4.0,9.12927013052921,2.321928094887362
ENSG00000001460,0.0620689654268965,12.4167569254,0.70243135428,6.5826990302,0.5261911607299999,protein_coding,12.0,7.0,18.9994559556,19.0,4.321888849845688,4.321928094887363
ENSG00000001461,0.1470588239558823,111.92460146,3.48325894715,141.268606077,3.83361829485,protein_coding,36.0,51.0,253.193207537,87.0,7.989781669434618,6.459431618637297
ENSG00000001497,0.59999999984,403.1973366,13.871974583,401.53651406,13.8448480066,protein_coding,0.0,0.0,804.73385066,0.0,9.654159557383197,0.0
ENSG00000001561,0.3333333334666666,367.9984943,6.775480817,367.9984943,6.775480817,protein_coding,0.0,0.0,735.9969886,0.0,9.525514914195854,0.0
ENSG00000001617,0.0243902438707317,3.6950316419,0.08437180569,4.3049683587,0.09830724199,protein_coding,1.0,1.0,8.0000000006,2.0,3.169925001538492,1.584962500721156
